taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_moisture_a,habitat_moisture_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,substrate_a,substrate_f
Blechnum wattsii,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also ?SA, Qld, NSW, Tas. (including Bass Strait islands). Locally dominant on shaded, periodically wet alluvial flats and humus-rich forest-floors of tall open-forests, tall scrubs and rainforests, in foothills and mountains mostly on and south of the Great Dividing Range.", also including bass strait islands locally dominant on shaded periodically wet alluvial flats and humusrich forestfloors of tall openforests tall scrubs and rainforests in foothills and mountains mostly on and south of the great dividing range ,,,forest_open rainforest scrub,openforests rainforests rainforests scrubs,wet,wet,flats mountains,flats mountains,,,alluvial,alluvial,alluvium,alluvial
Blennospora drummondii,"CVU, DunT, Gold, GGr, LoM, MuM, VRiv, Wim. Also WA, SA. Widespread in mallee woodlands of north-west Victoria, with isolated occurrences in box-ironbark forests of the central-north.", widespread in mallee woodlands of northwest victoria with isolated occurrences in boxironbark forests of the centralnorth ,widespread,widespread,mallee forest woodland,mallee forests woodlands woodlands,,,,,,,,,,
Boerhavia coccinea,"MuM, MSB. WA (native and naturalised), NT, SA, Qld, NSW. Confined to sandy rises in north-western Victoria at Lake Powell, Hattah Lakes, Mildura, and Neds Corner Station.", wa native and naturalised confined to sandy rises in northwestern victoria at lake powell hattah lakes mildura and neds corner station ,,,lakes,lakes,,,,,,,sand,sandy,,
Boerhavia dominii,"CVU, EGU, GipP, MuF, MuM, MSB, RobP, VRiv, Wim. All mainland states. Locally common on clay and alluvial soils within the Murray River flood zone downstream from c. Yarrawonga, with isolated records from Donald and Suggan Buggan. Occasionally weedy and collected once (1984) from a creekbank in suburban Essendon.", all mainland states locallycommon on clay and alluvial soils within the murray river flood zone downstream from c yarrawonga with isolated records from donald and suggan buggan occasionally weedy and collected once 1984 from a creekbank in suburban essendon ,common_locally,locallycommon,,,,,,,,,alluvial clay,alluvial clay,alluvium,alluvial
Bolboschoenus caldwellii,"CVU, DunT, EGL, GipP, Gold, HSF, MuF, MuM, NIS, OtP, OtR, RobP, VRiv, VVP, WaP, Wim. All States. New Zealand. Occasional, on margins of fresh to subsaline swamps, slow-flowing watercourses, and in shallow drains.", all states new zealand occasional on margins of fresh to subsaline swamps slowflowing watercourses and in shallow drains ,,,swamp,swamps swamps,wet,swamps,watercourses,watercourses,,,,,subsaline,subsaline
Bolboschoenus fluviatilis,"CVU, EGL, EGU, GipP, Gold, HNF, HSF, NIS, VRiv, VVP. Also SA (naturalised), Qld, NSW, NI, ACT, Vic. New Zealand, Asia, North America. Scattered and rather uncommon, chiefly in the east (one western record near Streatham), occurring in shallow water on lake margins and in open swamps.", vic new zealand asia north america scattered and rather uncommon chiefly in the east one western record near streatham occurring in shallowwater on lakemargins and in open swamps ,scattered uncommon,scattered uncommon,lake_margins water_shallow swamp,lakemargins shallowwater swamps swamps,wet,swamps,,,,,,,,
Bolboschoenus medianus,"Brid, CVU, DunT, EGL, EGU, GipP, Glep, Gold, HSF, LoM, MuF, MuM, MSB, NIS, OtP, RobP, VRiv, VVP, WaP, Wim. Also WA, NSW, ACT, Tas. New Zealand. Widespread but, except for areas surrounding Murray River in the north and far north-west, not common; occurring in shallow, often brackish water.", new zealand widespread but except for areas surrounding murray river in the north and far northwest notcommon occurring in shallow often brackish water ,widespread,widespread,,,wet,water,,,,,,,,
Borago officinalis,"*CVU, *EGL, *GipP, *HNF, *HSF, *Strz, *VRiv, *VVP. Also naturalised WA, SA, NSW, Tas. Native to southern Europe. Cultivated as a culinary herb and occasionally escaping or persisting in abandoned gardens, usually in moist sites.", also naturalised native to southern europe cultivated as a culinary herb and occasionally escaping or persisting in abandoned gardens usually in moist sites ,,,cultivated urban,cultivated gardens gardens,wet,moist,,,,,,,,
Boronia algida,"EGU, HNF, HSF, NIS, SnM, VAlp. Also NSW, ACT. In Victoria recorded from Mt Buffalo, Mt Hotham, Nunniong Plateau and nearby areas, mostly on shallow soils derived from igneous parent rock, occurring in heath or open eucalypt woodland communities.", in victoria recorded from mt buffalo mt hotham nunniong plateaus and nearby areas mostly on shallowsoils derived from igneous parent rock occurring in heath or open eucalyptwoodland communities ,,,woodland_eucalypt heath,eucalyptwoodland heath,,,plateaus,plateaus,,,soils_shallow,shallowsoils,igneous,igneous
Boronia citrata,"HSF, VAlp. Endemic to the upper catchment area of the Macalister River, to the north and east of Licola. The few known populations occur in subalpine mallee and heath communities on shallow soils.", endemic to the upper catchment area of the macalister river to the north and east of licola the few known populations occur in subalpine malleeandheath communities on shallowsoils ,,,mallee heath subalpine,malleeandheath subalpine,,,,,,,soils_shallow,shallowsoils,,
Boronia filifolia,"LoM, Wim. Also SA. Rare in Victoria where known only from mallee and heath on deep sand near the South Australian border in the Little Desert and Big Deserts.", rare in victoria where known only from malleeandheath on deep sand near the south australian border in the little desert and big deserts ,rare,rare,mallee heath,malleeandheath,,,,,,,sand,sand,,
Boronia galbraithiae,"HSF. Endemic to Victoria and apparently confined to elevated, dryish open-forest and rocky streamside vegetation between Stockdale and Dargo.", endemic to victoria and apparently confined to elevated dryish openforest and rocky streamside vegetation between stockdale and dargo ,,,forest_open,openforest,,,,,,,rocky,rocky,,
Boronia latipinna,"GGr. Endemic in the Grampians where locally common in moist forest, woodland and heath on soils derived from sandstone.", endemic in the grampians where locallycommon in moist forest woodland and heath on soils derived from sandstone ,common_locally,locallycommon,heath forest woodland,heath forest woodland,wet,moist,,,,,sand,sands,sandstone,sandstone
Boronia ledifolia,"EGU. Also NSW. Rare in Victoria and restricted to scrubby dry forest or shrubland fringing the Snowy, Tambo and Timbarra Rivers in Gippsland, usually on poor soils shallowly overlying rock.", rare in victoria and restricted to scrubby dryforest or shrubland fringing the snowy tambo and timbarra rivers in gippsland usually on poor soils shallowly overlying rock ,rare,rare,forest_dry shrubland,dryforest shrubland,,,,,,,,,,
Boronia muelleri,"CVU, EGL, EGU, GipP, HSF, OtP, OtR, Strz. Also NSW. In Victoria principally in the east, between Buchan and the New South Wales border, with disjunct western occurrences near Labertouche and Chapple Vale. Usually occurring on coarse, granitic sands supporting heathland or heathy woodland. An isolated population at Bullengarook, Between Bacchus Marsh and Woodend doubtfully represents a natural occurrence.", in victoria principally in the east between buchan and the new south wales border with disjunct western occurrences near labertouche and chapple vale usually occurring on coarse granitic sands supporting heathland or heathy woodland an isolated population at bullengarook between bacchus marsh and woodend doubtfully represents a natural occurrence ,,,heath woodland,heathland woodland,,,,,,,sand,sands,bog granite,marsh granitic
Boronia parviflora,"CVU, EGL, EGU, GipP, Glep, GGr, HNF, HSF, OtP, OtR, Strz, VRiv, VVP, WaP, WPro. Also SA, Qld, NSW, Tas. Patchily distributed through southern Victoria, mainly in wet heath and swampy areas.", patchily distributed through southern victoria mainly in wetheath and swampy areas ,,,heath_wet swamp,wetheath swampy,wet,swampy,,,,,,,,
Boronia pilosa,"Brid, CVU, DunT, GipP, Glep, GGr, HNF, HSF, LoM, MuM, NIS, OtP, VVP, WaP, Wim. Also SA.",  ,,,,,,,,,,,,,,
Boronia pilosa subsp. parvidaemonis,"LoM, MuM. Endemic to the Little Desert and Mount Arapiles, where occurring in low heath and heathy woodland on deep sands.", endemic to the little desert and mount arapiles where occurring in low heath and heathy woodland on deep sands ,,,heath woodland,heath woodland,,,,,,,sand,sands,,
Boronia pilosa subsp. pilosa,"Brid, CVU, DunT, GipP, Glep, GGr, HNF, HSF, NIS, OtP, VVP, Wim. Also Tas. Occurring disjunctly in the Grampians, Mt Richmond near Portland, Bacchus Marsh-Daylesford area, and near Bairnsdale. Occurs in forest, woodland and heath usually on rocky soils. Also Tas. A pre-1900 collection purportedly from Chiltern has not been collected in the region since and so it is doubtful that it occurred in this region.", occurring disjunctly in the grampians mt richmond near portland bacchus marshdaylesford area and near bairnsdale occurs in forest woodland and heath usually on rockysoils a pre1900ï¿½collection purportedly from chiltern has notbeen collected in the region since and soï¿½it is doubtful that it occurred in this region ,,,heath forest woodland,heath forest woodland,,,,,,,rocky,rockysoils rockys,,
Boronia pilosa subsp. torquata,"DunT, Glep, VVP, WaP, Wim. Also SA. Occurs in heathlands and heathy woodlands of the far south-west (e.g. Casterton and Portland areas), usually on sandy soils.", occurs in heathlands and heathy woodlands of the far southwest eg casterton and portland areas usually on sandy soils ,,,heath woodland,heathlands woodlands woodlands,,,,,,,sand,sandy,,
Borya mirabilis,"GGr. Endemic. Endemic in the Grampians and there restricted to an extremely small area in the Wonderland Range on an exposed sandstone outcrop. One of Victoria's most endangered endemic plants, being known only from a single population, perhaps not reproducing by seed (ovules are produced but have not been observed to mature viable seeds).", endemic endemic in the grampians and there restricted to an extremely small area in the wonderland range on an exposed sandstone outcrop one of victorias most endangered endemic plants being known only from a single population perhaps notreproducing by seed ovules are produced but have notbeen observed to mature viable seeds ,,,,,,,,,,,sand,sands,sandstone,sandstone
Bossiaea alpina,"HNF, HSF, VAlp. Occurs in subalpine or alpine heathland or heathy woodland in the southern alps of Victoria (e.g. Lake Mountain, Snowy Range, and Mt Buller).", occurs in subalpine or alpine heathland or heathy woodland in the southern alps of victoria eg lake mountain snowy range and mt buller ,,,alpine heath subalpine woodland,alps heathland subalpine woodland,,,,,,,,,,
Bossiaea bracteosa,"EGU, HNF, HSF, NIS, VAlp.",  ,,,,,,,,,,,,,,
Bossiaea buxifolia,"EGL, EGU, GipP, HFE, HNF, HSF, MonT, NIS, SnM, VAlp, WPro. Also Qld, NSW, ACT. Occurs in dry sclerophyll forest and woodland in eastern Victoria, mostly on ranges east of Omeo, with an isolated population at Providence Ponds.", occurs in drysclerophyllforest and woodland in eastern victoria mostly on ranges east of omeo with an isolated population at providence ponds ,,,forest_dry_sclerophyll woodland,drysclerophyllforest woodland,dry,drys,,,,,,,,
Bossiaea cinerea,"Brid, CVU, DunT, EGL, GipP, Glep, GGr, HSF, OtP, OtR, Strz, VVP, WaP, WPro, Wim. Also SA, NSW, Tas. Common in southern Victoria, in coastal heath and lowland open-forest.", common in southern victoria in coastal heath and lowland openforest ,common,common,forest_open heath,openforest heath,,,,,,,,,,
Bossiaea cordifolia,"OtP, OtR, WaP. Restricted to the Otway Ranges, growing in open Messmate or stringy bark forest, or heathland.", restricted to the otway ranges growing in open messmate or stringy bark forest or heathland ,,,heath forest,heathland forest,,,,,,,,,,
Bossiaea cordigera,"CVU, Gold, HNF, HSF, OtP, OtR, VVP, WaP. Also Tas. Occurs sporadically in south-western and central Victoria, apparently nowhere common. Favours moist situations in heathland, heathy woodland and open-forest.", occurs sporadically in southwestern and central victoria apparently nowhere common favours moist situations in heathland heathy woodland and openforest ,common,common,forest_open heath woodland,openforest heathland woodland,wet,moist,,,,,,,,
Bossiaea decumbens,"CVU, EGL, EGU, Gold, HNF, HSF, VAlp, VRiv, VVP. Occurs in a variety of habitats in central and eastern Victoria up to 1400 m altitude, including dry sclerophyll forest, grassland, open woodland and heathland.", occurs in a varietyofhabitats in central and eastern victoria up to 1400 m altitude including drysclerophyllforest grassland openwoodland and heathland ,,,forest_dry_sclerophyll various woodland_open grassland heath,drysclerophyllforest varietyofhabitats openwoodland grassland heathland openwoodland,dry,drys,,,,,,,,
Bossiaea distichoclada,"EGU, HNF, HSF, NIS, SnM, VAlp. Also NSW. Occurs in montane to subalpine woodland in north eastern Victoria.", occurs in montanetosubalpinewoodland in north eastern victoria ,,,woodland_montane woodland_subalpine woodland_subalpine woodland_montane,montanetosubalpinewoodland montanetosubalpinewoodland,,,,,,,,,,
Bossiaea ensata,"EGL, EGU. Also Qld, NSW. Occasional on sandy soil in low dense coastal heathland eastward from about Marlo.", occasional on sandy soil in low dense coastal heathland eastward from about marlo ,,,heath,heathland,,,,,,,sand,sandy,,
Bossiaea foliosa,"EGL, HNF, MonT, NIS, SnM, VAlp. Also NSW, ACT. Common component of alpine and subalpine communities in north-east and east Victoria. Restricted in Victoria to ranges near the border with New South Wales (e.g. Cobberas, Dartmouth area, Bendoc, Coopracambra National Park) at altitudes of 800–1200 m, commonly on stony soils in open forest and woodland.", common component of alpine and subalpine communities in northeast and east victoria restricted in victoria to ranges near the border with new south wales eg cobberas dartmouth area bendoc coopracambra national park at altitudes of 800ï¿½1200 m commonly on stony soils in openforest and woodland ,common,common,forest_open subalpine woodland,openforest subalpine woodland,,,,,,,,,,
