Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe reposnse,Habitat suitability,Risk,Expert change / reason for change,suggested_name,accepted_name,family,taxon_distribution
PROTEACEAE,Banksia sessilis,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1995), Shivas (1989), DBCA (2021)",,McDougall (1997),"Wills (1993), Shearer & Crane (unpub. data)",Suitable,Low,,Banksia sessilis,Banksia sessilis,Proteaceae,WA
PROTEACEAE,Banksia shuttleworthiana,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,,Banksia shuttleworthiana,Banksia shuttleworthiana,Proteaceae,WA
PROTEACEAE,Banksia solandri,w,,E,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett (1996), Barrett et al .(2008), Wills (1993), Shearer & Crane (unpub. data)",Suitable,Very high,"High rate of decline, multiple population extinctions, all pops infested & in decline; changed to Very High",Banksia solandri,Banksia solandri,Proteaceae,WA
PROTEACEAE,Banksia speciosa,w,,,"McCredie et al. (1985), Taylor (1974), Shivas (1989), DBCA (2021)",,Cho (1983),"Barrett (pers. comm.), McCredie et al. (1985), Wills (1993), Shearer & Crane (unpub. data)",Suitable,Low,,Banksia speciosa,Banksia speciosa,Proteaceae,WA
PROTEACEAE,Banksia sphaerocarpa var. sphaerocarpa,w,V,,"McCredie et al. (1985), Taylor (1974), Shivas (1989), DBCA (2021)",,Cho (1983),"Barrett & Rathbone (2018), McCredie et al. (1985), Wills (1993), Shearer & Crane (unpub. data)",Suitable,Moderate,,Banksia sphaerocarpa var. sphaerocarpa,Banksia sphaerocarpa var. sphaerocarpa,Proteaceae,WA
PROTEACEAE,Banksia spinulosa var. cunninghamii,"n,q,v",,,"Cahill (pers. comm.), McDougall & Summerell (2003), Weste (2001)",Shearer & Crane (unpub. data),VNPS (1995),"McDougall (pers. comm.), Weste (2001)",Suitable,Low,,Banksia spinulosa var. cunninghamii [alternative possible names: Banksia neoanglica (pro parte taxonomic synonym)],Banksia spinulosa var. cunninghamii,Proteaceae,"Qld, NSW, Vic"
PROTEACEAE,Banksia spinulosa var. spinulosa,"n,q",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Banksia spinulosa var. spinulosa,Banksia spinulosa var. spinulosa,Proteaceae,"Qld, NSW"
PROTEACEAE,Banksia squarrosa,w,V,,"Shearer & Dillon (1995), DBCA (2021)",,,Shearer & Crane (unpub. data),Suitable,Moderate,,Banksia squarrosa,Banksia squarrosa,Proteaceae,WA
PROTEACEAE,Banksia subpinnatifida,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,,Banksia subpinnatifida,Banksia subpinnatifida,Proteaceae,WA
PROTEACEAE,Banksia telmatiaea,w,,V,"Hill (1990), DBCA (2021)",,"Hill (1990), Shearer & Crane (unpub. data)",,Suitable,Low,,Banksia telmatiaea,Banksia telmatiaea,Proteaceae,WA
PROTEACEAE,Banksia tenuis,w,,,,,,"Shearer & Crane (unpub. data), Wills (1993)",Suitable,Low,,Banksia tenuis,Banksia tenuis,Proteaceae,WA
PROTEACEAE,Banksia tricuspis,w,,E,,,Keighery (1992),Shearer & Crane (unpub. data),Suitable,High,,Banksia tricuspis,Banksia tricuspis,Proteaceae,WA
PROTEACEAE,Banksia trifontinalis,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Banksia trifontinalis,Banksia trifontinalis,Proteaceae,WA
PROTEACEAE,Banksia undata,w,,V,Taylor (1974),,,,Suitable,Moderate,,Banksia undata,Banksia undata,Proteaceae,WA
PROTEACEAE,Banksia verticillata,w,V,,"McCredie et al. (1985), Shivas (1989), DBCA (2021)",,Keighery (1992),"Barrett (pers. comm.), Shearer & Crane (unpub. data), Wills (1993)",Suitable,Moderate,,Banksia verticillata,Banksia verticillata,Proteaceae,WA
PROTEACEAE,Banksia victoriae,w,,V,McCredie et al. (1985),,,"McCredie et al. (1985), Shearer & Crane (unpub. data)",Suitable,Moderate,,Banksia victoriae,Banksia victoriae,Proteaceae,WA
PROTEACEAE,Banksia vincentia,n,,CE,,Wan et al. (2019),,,Suitable,Moderate,,Banksia vincentia,Banksia vincentia,Proteaceae,NSW
PROTEACEAE,Banksia violacea,w,,,"McCredie et al. (1985), DBCA (2021)",,,"Barrett (pers. comm.), Wills (1993), Shearer & Crane (unpub. data)",Suitable,Low,,Banksia violacea,Banksia violacea,Proteaceae,WA
PROTEACEAE,Banksia viscida,w,,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,,Banksia viscida,Banksia viscida,Proteaceae,WA
PROTEACEAE,Buckinghamia celsissima,q,,,Brown (1998),,,,Suitable,Low,,Buckinghamia celsissima,Buckinghamia celsissima,Proteaceae,Qld
PROTEACEAE,Cardwellia sublimis,q,,,,,Worboys et al. (2003),,Suitable,Low,,Cardwellia sublimis,Cardwellia sublimis,Proteaceae,Qld
PROTEACEAE,Carnarvonia araliifolia var. montana,q,,V,Brown (1998),,,,Suitable,Moderate,,Carnarvonia araliifolia var. montana,Carnarvonia araliifolia var. montana,Proteaceae,Qld
PROTEACEAE,Cenarrhenes nitida,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,Schahinger et al. (2003),Suitable,Low,,Cenarrhenes nitida,Cenarrhenes nitida,Proteaceae,Tas
PROTEACEAE,Conospermum caeruleum,w,,,DBCA (2021),,Barrett (pers. comm.),,Suitable,Low,,Conospermum caeruleum,Conospermum caeruleum,Proteaceae,WA
PROTEACEAE,Conospermum densiflorum subsp. unicephalatum,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Conospermum densiflorum subsp. unicephalatum,Conospermum densiflorum subsp. unicephalatum,Proteaceae,WA
PROTEACEAE,Conospermum eatoniae,w,,,,,Wills (1993),,Suitable,Low,,Conospermum eatoniae,Conospermum eatoniae,Proteaceae,WA
PROTEACEAE,Conospermum hookeri,t,V,,Schahinger et al. (2003),,,Rudman (pers. comm.),Suitable,Moderate,,Conospermum hookeri,Conospermum hookeri,Proteaceae,Tas
PROTEACEAE,Conospermum mitchellii,v,,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,,Conospermum mitchellii,Conospermum mitchellii,Proteaceae,Vic
PROTEACEAE,Conospermum scaposum,w,,V,,Shearer & Crane (unpub. data),Wills (1993),,Suitable,Low,,Conospermum scaposum,Conospermum scaposum,Proteaceae,WA
PROTEACEAE,Conospermum spectabile,w,,E,,,,"Barrett (pers. comm.), Shearer & Crane (unpub. data)",Suitable,High,,Conospermum spectabile,Conospermum spectabile,Proteaceae,WA
PROTEACEAE,Conospermum stoechadis,w,,,,,Hill (1990),,Suitable,Low,,Conospermum stoechadis,Conospermum stoechadis,Proteaceae,WA
PROTEACEAE,Conospermum teretifolium,w,,,,,,Barrett (pers. comm.),Suitable,Low,,Conospermum teretifolium,Conospermum teretifolium,Proteaceae,WA
PROTEACEAE,Conospermum toddii,w,,V,,,Keighery (1992),,Unsuitable,Low,,Conospermum toddii,Conospermum toddii,Proteaceae,WA
PROTEACEAE,Conospermum triplinervium,w,,,"Hill (1990), Shivas (1989)",,Hill (1990),,Suitable,Low,,Conospermum triplinervium,Conospermum triplinervium,Proteaceae,WA
PROTEACEAE,Darlingia darlingiana,q,,,Brown (1998),,Worboys et al. (2003),,Suitable,Low,,Darlingia darlingiana,Darlingia darlingiana,Proteaceae,Qld
PROTEACEAE,Franklandia fucifolia,w,,,,,,Wills (1993),Suitable,Low,,Franklandia fucifolia,Franklandia fucifolia,Proteaceae,WA
PROTEACEAE,Grevillea acanthifolia subsp. paludosa,n,E,,,McDougall (pers. comm.),,,Suitable,Low,,Grevillea acanthifolia subsp. paludosa,Grevillea acanthifolia subsp. paludosa,Proteaceae,NSW
PROTEACEAE,Grevillea alpina,"a,n,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001), Shivas (1989)",,VNPS (1995),Weste (2001),Suitable,Low,,Grevillea alpina,Grevillea alpina,Proteaceae,"NSW, ACT, Vic"
PROTEACEAE,Grevillea althoferorum,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea althoferorum,Grevillea althoferorum,Proteaceae,WA
PROTEACEAE,Grevillea aquifolium,"s,v",,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,,Grevillea aquifolium [alternative possible names: Grevillea monticola (nomenclatural synonym) | Grevillea infecunda (pro parte misapplied)],Grevillea aquifolium,Proteaceae,"SA, Vic"
PROTEACEAE,Grevillea aspleniifolia,n,,,,Roleybushcare (2022),,,Suitable,Low,,Grevillea aspleniifolia [alternative possible names: Grevillea longifolia (pro parte taxonomic synonym)],Grevillea aspleniifolia,Proteaceae,NSW
PROTEACEAE,Grevillea banksii,q,,,,Roleybushcare (2022),,,Suitable,Low,,Grevillea banksii,Grevillea banksii,Proteaceae,Qld
PROTEACEAE,Grevillea bipinnatifida,w,,,DBCA (2021),,,,Suitable,Low,,Grevillea bipinnatifida,Grevillea bipinnatifida,Proteaceae,WA
PROTEACEAE,Grevillea brachystachya,w,,,Shivas (1989),,,,Suitable,Low,,Grevillea brachystachya,Grevillea brachystachya,Proteaceae,WA
PROTEACEAE,Grevillea brachystylis subsp. grandis,w,CE,,,,Shearer & Crane (unpub. data),,Suitable,High,,Grevillea brachystylis subsp. grandis,Grevillea brachystylis subsp. grandis,Proteaceae,WA
PROTEACEAE,Grevillea bracteosa,w,CE,,,Shearer & Crane (unpub. data),,,Suitable,Moderate,,Grevillea bracteosa,Grevillea bracteosa,Proteaceae,WA
PROTEACEAE,Grevillea calliantha,w,E,,,,Keighery (1992),,Suitable,Moderate,,Grevillea calliantha,Grevillea calliantha,Proteaceae,WA
PROTEACEAE,Grevillea candicans,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea candicans,Grevillea candicans,Proteaceae,WA
PROTEACEAE,Grevillea christineae,w,E,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Grevillea christineae,Grevillea christineae,Proteaceae,WA
PROTEACEAE,Grevillea chrysophaea,v,,V,Weste (2001),,,Weste (2001),Suitable,Moderate,,Grevillea chrysophaea,Grevillea chrysophaea,Proteaceae,Vic
PROTEACEAE,Grevillea cirsiifolia,w,,,,,Keighery (1992),,Suitable,Low,,Grevillea cirsiifolia,Grevillea cirsiifolia,Proteaceae,WA
PROTEACEAE,Grevillea confertifolia,v,,V,Weste (2001),,,Weste (2001),Suitable,Moderate,,Grevillea confertifolia,Grevillea confertifolia,Proteaceae,Vic
PROTEACEAE,Grevillea corrugata,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea corrugata,Grevillea corrugata,Proteaceae,WA
PROTEACEAE,Grevillea costata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea costata,Grevillea costata,Proteaceae,WA
PROTEACEAE,Grevillea crithmifolia,w,,V,Shivas (1989),,,,Suitable,Moderate,,Grevillea crithmifolia,Grevillea crithmifolia,Proteaceae,WA
PROTEACEAE,Grevillea curviloba,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea curviloba,Grevillea curviloba,Proteaceae,WA
PROTEACEAE,Grevillea decora,q,,,Taylor (1974),,,,Suitable,Low,,Grevillea decora,Grevillea decora,Proteaceae,Qld
PROTEACEAE,Grevillea delta,w,,CE,,,Shearer & Crane (unpub. data),,Suitable,High,,Grevillea delta,Grevillea delta,Proteaceae,WA
PROTEACEAE,Grevillea drummondii,w,,E,DBCA (2021),,,,Suitable,High,,Grevillea drummondii,Grevillea drummondii,Proteaceae,WA
PROTEACEAE,Grevillea dryandroides,w,E,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Grevillea dryandroides,Grevillea dryandroides,Proteaceae,WA
PROTEACEAE,Grevillea elongata,w,V,,DBCA (2021),Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea elongata,Grevillea elongata,Proteaceae,WA
PROTEACEAE,Grevillea eriobotrya,w,,V,,,,Shearer & Crane (unpub. data),Unsuitable,Low,,Grevillea eriobotrya,Grevillea eriobotrya,Proteaceae,WA
PROTEACEAE,Grevillea fasciculata,w,,,DBCA (2021),"Barrett (pers. comm.), Wills (1993)",,,Suitable,Low,,Grevillea fasciculata,Grevillea fasciculata,Proteaceae,WA
PROTEACEAE,Grevillea flexuosa,w,V,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Grevillea flexuosa,Grevillea flexuosa,Proteaceae,WA
PROTEACEAE,Grevillea fuscolutea,w,,E,,,,Freebury (pers. comm.),Suitable,High,,Grevillea fuscolutea,Grevillea fuscolutea,Proteaceae,WA
PROTEACEAE,Grevillea guthrieana,n,E,,,McDougall (pers. comm.),,,Suitable,Low,,Grevillea guthrieana,Grevillea guthrieana,Proteaceae,NSW
PROTEACEAE,Grevillea hookeriana,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Grevillea hookeriana [alternative possible names: Grevillea baxteri (pro parte misapplied) | Grevillea tetragonoloba (pro parte misapplied) | Grevillea cagiana (misapplied)],Grevillea hookeriana,Proteaceae,WA
PROTEACEAE,Grevillea humifusa,w,E,,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Grevillea humifusa,Grevillea humifusa,Proteaceae,WA
PROTEACEAE,Grevillea irrasa subsp. irrasa,n,,E,McDougall & Summerell (2003),,,McDougall (pers. comm.),Suitable,High,,Grevillea irrasa subsp. irrasa,Grevillea irrasa subsp. irrasa,Proteaceae,NSW
PROTEACEAE,Grevillea juniperina,"a,n,q",,,Taylor (1974),,,,Suitable,Low,,Grevillea juniperina,Grevillea juniperina,Proteaceae,"Qld, NSW, ACT"
PROTEACEAE,Grevillea kenneallyi,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea kenneallyi,Grevillea kenneallyi,Proteaceae,WA
PROTEACEAE,Grevillea lanigera,"a,n,v",,,,Roleybushcare (2022),,,Suitable,Low,,Grevillea lanigera,Grevillea lanigera,Proteaceae,"NSW, ACT, Vic"
PROTEACEAE,Grevillea lavandulacea,"s,v",,,,,SARDI (pers. comm.),,Suitable,Low,,Grevillea lavandulacea [alternative possible names: Grevillea muricata (pro parte misapplied)],Grevillea lavandulacea,Proteaceae,"SA, Vic"
PROTEACEAE,Grevillea leptopoda,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea leptopoda,Grevillea leptopoda,Proteaceae,WA
PROTEACEAE,Grevillea leucoclada,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea leucoclada,Grevillea leucoclada,Proteaceae,WA
PROTEACEAE,Grevillea levis,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Grevillea levis,Grevillea levis,Proteaceae,WA
PROTEACEAE,Grevillea longifolia,n,,,,Roleybushcare (2022),,,Suitable,Low,,Grevillea longifolia,Grevillea longifolia,Proteaceae,NSW
PROTEACEAE,Grevillea longistyla,q,,,Taylor (1974),,,,Suitable,Low,,Grevillea longistyla,Grevillea longistyla,Proteaceae,Qld
PROTEACEAE,Grevillea maccutcheonii,w,E,,DBCA (2021),,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea maccutcheonii,Grevillea maccutcheonii,Proteaceae,WA
PROTEACEAE,Grevillea makinsonii,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Grevillea makinsonii,Grevillea makinsonii,Proteaceae,WA
PROTEACEAE,Grevillea maxwellii,w,E,CE,,,,Shearer & Crane (unpub. data),Suitable,Very high,,Grevillea maxwellii,Grevillea maxwellii,Proteaceae,WA
PROTEACEAE,Grevillea microstegia,v,,E,Weste (2001),,Weste (2001),,Suitable,Moderate,,Grevillea microstegia,Grevillea microstegia,Proteaceae,Vic
PROTEACEAE,Grevillea minutiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea minutiflora,Grevillea minutiflora,Proteaceae,WA
PROTEACEAE,Grevillea miqueliana,v,,V,Taylor (1974),,,,Suitable,Moderate,,Grevillea miqueliana,Grevillea miqueliana,Proteaceae,Vic
PROTEACEAE,Grevillea mollis,n,E,,,McDougall (pers. comm.),,,Suitable,Low,,Grevillea mollis,Grevillea mollis,Proteaceae,NSW
PROTEACEAE,Grevillea mucronulata,n,,,Taylor (1974),,,,Suitable,Low,,Grevillea mucronulata,Grevillea mucronulata,Proteaceae,NSW
PROTEACEAE,Grevillea murex,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea murex,Grevillea murex,Proteaceae,WA
PROTEACEAE,Grevillea muricata,s,,E,Vickery (1997),,,,Suitable,High,,Grevillea muricata,Grevillea muricata,Proteaceae,SA
PROTEACEAE,Grevillea obtusiflora,n,E,,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,Moderate,,Grevillea obtusiflora,Grevillea obtusiflora,Proteaceae,NSW
PROTEACEAE,Grevillea oleoides,n,,,,,McDougall (pers. comm.),,Suitable,Low,,Grevillea oleoides,Grevillea oleoides,Proteaceae,NSW
PROTEACEAE,Grevillea pieroniae,w,,CE,,Shearer & Crane (unpub. data),,Barrett (pers. comm.),Suitable,Very high,,Grevillea pieroniae,,Proteaceae,
PROTEACEAE,Grevillea pilosa subsp. redacta,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Grevillea pilosa subsp. redacta,Grevillea pilosa subsp. redacta,Proteaceae,WA
PROTEACEAE,Grevillea pilulifera,w,,,,McDougall (1997),,,Suitable,Low,,Grevillea pilulifera,Grevillea pilulifera,Proteaceae,WA
PROTEACEAE,Grevillea polybractea,"n,v",,,Taylor (1974),,,,Suitable,Low,,Grevillea polybractea,Grevillea polybractea,Proteaceae,"NSW, Vic"
PROTEACEAE,Grevillea quinquenervis,s,,E,Vickery (1997),,Velzeboer (pers. comm.),,Suitable,Moderate,,Grevillea quinquenervis,Grevillea quinquenervis,Proteaceae,SA
PROTEACEAE,Grevillea rara,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Grevillea rara,Grevillea rara,Proteaceae,WA
PROTEACEAE,Grevillea renwickiana,n,,,,Wan et al. (2019),,,Suitable,Low,,Grevillea renwickiana,Grevillea renwickiana,Proteaceae,NSW
PROTEACEAE,Grevillea rosmarinifolia,"n,v",,,Taylor (1974),Groves et al. (2009),,,Suitable,Low,,Grevillea rosmarinifolia,Grevillea rosmarinifolia,Proteaceae,"SA (naturalised), Qld (naturalised), NSW, ACT (naturalised), Vic"
PROTEACEAE,Grevillea saccata,w,,V,,,Keighery (1992),Shearer & Crane (unpub. data),Suitable,Moderate,,Grevillea saccata,Grevillea saccata,Proteaceae,WA
PROTEACEAE,Grevillea scabrida,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea scabrida,Grevillea scabrida,Proteaceae,WA
PROTEACEAE,Grevillea shiressii,n,V,,,McDougall (pers. comm.),,,Suitable,Low,,Grevillea shiressii,Grevillea shiressii,Proteaceae,NSW
PROTEACEAE,Grevillea spinosissima,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Grevillea spinosissima,Grevillea spinosissima,Proteaceae,WA
PROTEACEAE,Grevillea steiglitziana,v,,V,Weste (2001),,Weste (2001),,Suitable,Low,,Grevillea steiglitziana,Grevillea steiglitziana,Proteaceae,Vic
PROTEACEAE,Grevillea synapheae,w,,,"Shearer & Dillon (1996), DBCA (2021)",Shearer & Dillon (1996),,,Suitable,Low,,Grevillea synapheae,Grevillea synapheae,Proteaceae,WA
PROTEACEAE,Grevillea thyrsoides,w,,V,DBCA (2021),,,,Suitable,Moderate,,Grevillea thyrsoides,Grevillea thyrsoides,Proteaceae,WA
PROTEACEAE,Grevillea triloba,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea triloba,Grevillea triloba,Proteaceae,WA
PROTEACEAE,Grevillea tripartita,w,,,,,,Wills (1993),Suitable,Low,,Grevillea tripartita,Grevillea tripartita,Proteaceae,WA
PROTEACEAE,Grevillea uniformis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Grevillea uniformis,Grevillea uniformis,Proteaceae,WA
PROTEACEAE,Grevillea victoriae,"a,n,v",,,"Rigg et al. (2018), Taylor (1974)",,,Rigg et al. (2018),Suitable,Low,,Grevillea victoriae,Grevillea victoriae,Proteaceae,"NSW, ACT, Vic"
PROTEACEAE,Grevillea wilsonii,w,,,,McDougall (1997),,,Suitable,Low,,Grevillea wilsonii,Grevillea wilsonii,Proteaceae,WA
PROTEACEAE,Hakea aculeata,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Hakea aculeata,Hakea aculeata,Proteaceae,WA
PROTEACEAE,Hakea ambigua,w,,,DBCA (2021),,"Barrett & Rathbone (2018), Shearer & Crane (unpub. data)",Wills (1993),Suitable,Low,,Hakea ambigua,Hakea ambigua,Proteaceae,WA
PROTEACEAE,Hakea amplexicaulis,w,,,"Shearer & Dillon (1996), DBCA (2021)",Shearer & Dillon (1996),,,Suitable,Low,,Hakea amplexicaulis,Hakea amplexicaulis,Proteaceae,WA
PROTEACEAE,Hakea archaeoides,n,V,,,McDougall (pers. comm.),,,Suitable,Low,,Hakea archaeoides,Hakea archaeoides,Proteaceae,NSW
PROTEACEAE,Hakea bakeriana,n,,V,Taylor (1974),,,,Suitable,Moderate,,Hakea bakeriana,Hakea bakeriana,Proteaceae,NSW
PROTEACEAE,Hakea baxteri,w,,,DBCA (2021),,Barrett (pers. comm.),Wills (1993),Suitable,Low,,Hakea baxteri,Hakea baxteri,Proteaceae,"WA, SA"
PROTEACEAE,Hakea carinata,s,,,,,,Velzeboer (pers. comm.),Suitable,Low,,Hakea carinata,Hakea carinata,Proteaceae,SA
PROTEACEAE,Hakea ceratophylla,w,,,DBCA (2021),Barrett (pers. comm.),Wills (1993),,Suitable,Low,,Hakea ceratophylla,Hakea ceratophylla,Proteaceae,WA
PROTEACEAE,Hakea conchifolia,w,,V,Taylor (1974),,,,Suitable,Moderate,,Hakea conchifolia,Hakea conchifolia,Proteaceae,WA
PROTEACEAE,Hakea corymbosa,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Hakea corymbosa,Hakea corymbosa,Proteaceae,WA
PROTEACEAE,Hakea cucullata,w,,V,DBCA (2021),,Shearer & Crane (unpub. data),"Barrett & Rathbone (2018), Wills (1993)",Suitable,Moderate,,Hakea cucullata [alternative possible names: Hakea conchifolia (pro parte misapplied) | Hakea victoria (pro parte misapplied) | Hakea conchifolia (misapplied)],Hakea cucullata,Proteaceae,"WA, SA (naturalised)"
PROTEACEAE,Hakea cygna subsp. needlei,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Hakea cygnus subsp. needlei,Hakea cygnus subsp. needlei,Proteaceae,WA
PROTEACEAE,Hakea dactyloides,"n,v",,,,,McDougall (pers. comm.),,Suitable,Low,,Hakea dactyloides,Hakea dactyloides,Proteaceae,"WA (naturalised), NSW, Vic"
PROTEACEAE,Hakea decurrens,"a,n,t,v",,,Weste (2001),Groves et al. (2009),Weste (2001),,Suitable,Low,,Hakea decurrens,Hakea decurrens,Proteaceae,"SA (naturalised), NSW (native and naturalised), ACT, Vic, Tas"
PROTEACEAE,Hakea denticulata,w,,,,,Wills (1993),,Suitable,Low,,Hakea denticulata,Hakea denticulata,Proteaceae,WA
PROTEACEAE,Hakea elliptica,w,,,DBCA (2021),Freebury (pers. comm.),Freebury (pers. comm.),,Suitable,Low,,Hakea elliptica,Hakea elliptica,Proteaceae,"WA, Vic (doubtfully naturalised)"
PROTEACEAE,Hakea falcata,w,,,DBCA (2021),,,,Suitable,Low,,Hakea falcata [alternative possible names: Hakea erecta (pro parte misapplied)],Hakea falcata,Proteaceae,WA
PROTEACEAE,Hakea flabellifolia,w,,V,,,Tynan et al. (2001),,Suitable,Low,,Hakea flabellifolia,Hakea flabellifolia,Proteaceae,WA
PROTEACEAE,Hakea florida,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Hakea florida,Hakea florida,Proteaceae,WA
PROTEACEAE,Hakea hookeriana,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Hakea hookeriana,Hakea hookeriana,Proteaceae,WA
PROTEACEAE,Hakea incrassata,w,,,DBCA (2021),,,,Suitable,Low,,Hakea incrassata,Hakea incrassata,Proteaceae,WA
PROTEACEAE,Hakea kippistiana,w,,,Taylor (1974),,,,Mostly unsuitable,Low,,Hakea kippistiana,Hakea kippistiana,Proteaceae,WA
PROTEACEAE,Hakea lasiantha,w,,,,,Barrett (pers. comm.),Wills (1993),Suitable,Moderate,,Hakea lasiantha,Hakea lasiantha,Proteaceae,WA
PROTEACEAE,Hakea lasiocarpha,w,,V,,,,Barrett (pers. comm.),Suitable,Moderate,,Hakea lasiocarpha [alternative possible names: Hakea varia (pro parte misapplied)],Hakea lasiocarpha,Proteaceae,WA
PROTEACEAE,Hakea laurina,w,,,DBCA (2021),,Wills (1993),,Suitable,Low,,Hakea laurina,Hakea laurina,Proteaceae,"WA, SA (naturalised), Tas (formerly naturalised)"
PROTEACEAE,Hakea lehmanniana,w,,,,,,Wills (1993),Suitable,Low,,Hakea lehmanniana,Hakea lehmanniana,Proteaceae,WA
PROTEACEAE,Hakea lissocarpha,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1996), DBCA (2021)","McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,,Hakea lissocarpha,Hakea lissocarpha,Proteaceae,WA
PROTEACEAE,Hakea marginata,w,,,,,,Wills (1993),Suitable,Low,,Hakea marginata,Hakea marginata,Proteaceae,WA
PROTEACEAE,Hakea megalosperma,w,V,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Hakea megalosperma,Hakea megalosperma,Proteaceae,WA
PROTEACEAE,Hakea neurophylla,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Hakea neurophylla,Hakea neurophylla,Proteaceae,WA
PROTEACEAE,Hakea nodosa,"s,t,v",,,"Cahill (pers. comm.), Weste (2001)",Weste (2001),VNPS (1995),,Suitable,Low,,Hakea nodosa,Hakea nodosa,Proteaceae,"SA, Vic, Tas"
PROTEACEAE,Hakea oldfieldii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Hakea oldfieldii [alternative possible names: Hakea newbeyana (pro parte taxonomic synonym)],Hakea oldfieldii,Proteaceae,WA
PROTEACEAE,Hakea oleifolia,w,,,Taylor (1974),Freebury (pers. comm.),,,Suitable,Low,,Hakea oleifolia,Hakea oleifolia,Proteaceae,"WA, Vic (doubtfully naturalised)"
PROTEACEAE,Hakea pandanicarpa subsp. crassifolia,w,,,,Shearer & Crane (unpub. data),"Freebury (pers. comm.), Wills (1993)",,Suitable,Low,,Hakea pandanicarpa subsp. crassifolia,Hakea pandanicarpa subsp. crassifolia,Proteaceae,WA
PROTEACEAE,Hakea pendens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Hakea pendens,Hakea pendens,Proteaceae,WA
PROTEACEAE,Hakea petiolaris,w,,,,Gardner & Rokich (1987),Shearer & Crane (unpub. data),,Suitable,Low,,Hakea petiolaris,Hakea petiolaris,Proteaceae,"WA, Vic (doubtfully naturalised)"
PROTEACEAE,Hakea platysperma,w,,,Taylor (1974),,,Shearer & Crane (unpub. data),Suitable,Low,,Hakea platysperma,Hakea platysperma,Proteaceae,WA
PROTEACEAE,Hakea polyanthema,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Hakea polyanthema,Hakea polyanthema,Proteaceae,WA
PROTEACEAE,Hakea psilorrhyncha,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Hakea psilorrhyncha,Hakea psilorrhyncha,Proteaceae,WA
